word,zh,pinyin,en,,,
1,一,yī,One,,,
2,二,èr / liǎng,2,,,
3,三,sān,Three,,,
4,四,sì,Four,,,
5,五,wǔ,Five,,,
6,六,liù,Six,,,
7,七,qī,Seven,,,
8,八,bā,Eight,,,
9,九,jiǔ,Nine,,,
10,十,shí,Ten,,,
11,十一,shí yī,Eleven,,,
20,二十,èr shí,Tenty,,,
80,八十,bā shí,Eighty,,,
A pair of,两,liǎng,A pair of,,,
Jack,勾,Gōu,Jack,,,
Queen,圈儿,quānr,Queen (Circle - sounds like “queen”),,,
King,凯,kǎi,King,,,
Ace,尖儿,jiānr,Ace,,,
Hearts,红心,Hóngxīn,Hearts (Red heart),,,
Diamonds,方片,fāngkuài,Diamonds (square piece),,,
Spades,黑桃,hēitáo,Spades (Black Peach / walnut),,,
Clubs,梅花,méihuā,Clubs (Plum blossom),,,
7 of Spades,黑桃七,hēitáo qī,7 of spades,,,
Deal,发牌,fāpái,Deal,,,
Draw,抓牌,Zhuā,Draw (Grasp) card,,,
Do you have any sevens?,你有七吗,nĭ yŏu qī ma?,Do you have any sevens?,,,
I’ve got one,“我拿到了,Wǒ nádào le!,I’ve got one,,,
Go Fish!,钓鱼吧,diàoyú ba ,Go fish!,,,
"No, I don’t",没有。,Méiyǒu.,"No, I don't",,,
